"Source","Week","Province","Latitude","Longitude","NewSuspectedCases","TotalSuspectedCases","TotalConfirmedCases","NewConfirmedDeaths","TotalConfirmedDeaths","Lethality"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/SITREP/Mpox/SITREP-Mpox-1.pdf",6,"Bas-Uele",3.6682004,22.4296578,9,9,NA,0,0,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/SITREP/Mpox/SITREP-Mpox-2.pdf",7,"Bas-Uele",3.6682004,22.4296578,3,12,NA,0,0,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/SITREP/Mpox/SITREP-Mpox-3.pdf",8,"Bas-Uele",3.6682004,22.4296578,15,27,NA,1,1,3.7037037037037
"https://github.com/fbranda/ADAMS/blob/main/bulletins/SITREP/Mpox/SITREP-Mpox-4.pdf",10,"Bas-Uele",3.6682004,22.4296578,7,34,NA,0,1,2.94117647058824
"https://github.com/fbranda/ADAMS/blob/main/bulletins/SITREP/Mpox/SITREP-Mpox-5.pdf",12,"Bas-Uele",3.6682004,22.4296578,3,37,NA,0,1,2.7027027027027
"https://github.com/fbranda/ADAMS/blob/main/bulletins/SITREP/Mpox/SITREP-Mpox-8.pdf",16,"Bas-Uele",3.6682004,22.4296578,17,54,NA,0,1,1.85185185185185
"https://github.com/fbranda/ADAMS/blob/main/bulletins/SITREP/Mpox/SITREP-Mpox-13.pdf",18,"Bas-Uele",3.6682004,22.4296578,8,62,NA,0,1,1.61290322580645
"https://github.com/fbranda/ADAMS/blob/main/bulletins/SITREP/Mpox/SITREP-Mpox-14.pdf",19,"Bas-Uele",3.6682004,22.4296578,3,65,NA,0,1,1.53846153846154
"https://github.com/fbranda/ADAMS/blob/main/bulletins/SITREP/Mpox/SITREP-Mpox-15.pdf",20,"Bas-Uele",3.6682004,22.4296578,1,69,2,0,1,1.44927536231884
"https://github.com/fbranda/ADAMS/blob/main/bulletins/SITREP/Mpox/SITREP-Mpox-16.pdf",21,"Bas-Uele",3.6682004,22.4296578,4,73,2,0,1,1.36986301369863
"https://github.com/fbranda/ADAMS/blob/main/bulletins/SITREP/Mpox/SITREP-Mpox-17.pdf",22,"Bas-Uele",3.6682004,22.4296578,1,74,2,0,1,1.35135135135135
"https://github.com/fbranda/ADAMS/blob/main/bulletins/SITREP/Mpox/SITREP-Mpox-18.pdf",23,"Bas-Uele",3.6682004,22.4296578,0,74,2,0,1,1.35135135135135
"https://github.com/fbranda/ADAMS/blob/main/bulletins/SITREP/Mpox/SITREP-Mpox-19.pdf",24,"Bas-Uele",3.6682004,22.4296578,9,83,2,2,3,3.6144578313253
"https://github.com/fbranda/ADAMS/blob/main/bulletins/SITREP/Mpox/SITREP-Mpox-20.pdf",25,"Bas-Uele",3.6682004,22.4296578,2,85,2,0,3,3.52941176470588
"https://github.com/fbranda/ADAMS/blob/main/bulletins/SITREP/Mpox/SITREP-Mpox-23.pdf",26,"Bas-Uele",3.6682004,22.4296578,0,85,2,0,3,3.52941176470588
"https://github.com/fbranda/ADAMS/blob/main/bulletins/SITREP/Mpox/SITREP-Mpox-24.pdf",27,"Bas-Uele",3.6682004,22.4296578,0,85,4,0,3,3.52941176470588
