"Source","DateOfIssue","Country","Latitude","Longitude","NewConfirmedCases","TotalConfirmedCases","TotalActiveCases","TotalFemaleCases","TotalMaleCases","NewRecoveredCases","TotalRecoveredCases","NewConfirmedDeaths","TotalDeaths","CFR"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-16-Jan.jpeg",2025-01-16,"Sierra Leone",8.4228044,-13.1571683,4,4,NA,1,3,0,0,0,0,"0"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-23-Jan.jpeg",2025-01-23,"Sierra Leone",8.4228044,-13.1571683,9,13,NA,3,10,1,1,0,0,"0"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-30-Jan.jpeg",2025-01-30,"Sierra Leone",8.4228044,-13.1571683,8,17,NA,6,11,8,9,0,0,"0"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-31-Jan.jpeg",2025-01-31,"Sierra Leone",8.4228044,-13.1571683,0,17,NA,6,11,1,10,0,0,"0"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-1-Feb.jpeg",2025-02-01,"Sierra Leone",8.4228044,-13.1571683,0,17,NA,6,11,0,10,0,0,"0"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-2-Feb.jpeg",2025-02-02,"Sierra Leone",8.4228044,-13.1571683,0,17,NA,6,11,0,10,0,0,"0"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-3-Feb.jpeg",2025-02-03,"Sierra Leone",8.4228044,-13.1571683,1,18,NA,7,11,0,10,0,0,"0"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-4-Feb.jpeg",2025-02-04,"Sierra Leone",8.4228044,-13.1571683,2,20,NA,8,12,0,10,0,0,"0"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-5-Feb.jpeg",2025-02-05,"Sierra Leone",8.4228044,-13.1571683,0,20,NA,8,12,1,11,0,0,"0"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-6-Feb.jpeg",2025-02-06,"Sierra Leone",8.4228044,-13.1571683,0,20,NA,8,12,0,11,0,0,"0"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-7-Feb.jpeg",2025-02-07,"Sierra Leone",8.4228044,-13.1571683,0,20,NA,8,12,4,15,0,0,"0"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-8-Feb.jpeg",2025-02-08,"Sierra Leone",8.4228044,-13.1571683,0,20,NA,8,12,0,15,0,0,"0"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-9-Feb.jpeg",2025-02-09,"Sierra Leone",8.4228044,-13.1571683,0,20,5,8,12,0,15,0,0,"0"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-10-Feb.jpeg",2025-02-10,"Sierra Leone",8.4228044,-13.1571683,0,20,5,8,12,0,15,0,0,"0"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-11-Feb.jpeg",2025-02-11,"Sierra Leone",8.4228044,-13.1571683,0,20,5,8,12,0,15,0,0,"0"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-12-Feb.jpeg",2025-02-12,"Sierra Leone",8.4228044,-13.1571683,0,20,3,8,12,2,17,0,0,"0"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-13-Feb.jpeg",2025-02-13,"Sierra Leone",8.4228044,-13.1571683,0,20,3,8,12,0,17,0,0,"0"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-14-Feb.jpeg",2025-02-14,"Sierra Leone",8.4228044,-13.1571683,2,22,3,8,14,2,19,0,0,"0"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-15-Feb.jpeg",2025-02-15,"Sierra Leone",8.4228044,-13.1571683,0,22,3,8,14,0,19,0,0,"0"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-16-Feb.jpeg",2025-02-16,"Sierra Leone",8.4228044,-13.1571683,0,22,3,8,14,0,19,0,0,"0"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-17-Feb.jpeg",2025-02-17,"Sierra Leone",8.4228044,-13.1571683,0,22,3,8,14,0,19,0,0,"0"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-18-Feb.jpeg",2025-02-18,"Sierra Leone",8.4228044,-13.1571683,0,22,3,8,14,0,19,0,0,"0"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-19-Feb.jpeg",2025-02-19,"Sierra Leone",8.4228044,-13.1571683,0,22,3,8,14,0,19,0,0,"0"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-20-Feb.jpeg",2025-02-20,"Sierra Leone",8.4228044,-13.1571683,1,23,4,9,14,0,19,0,0,"0"
